County,Latitude,Longitude,Inc_2013,Inc_2014,Inc_2015,Inc_2016,Inc_2017,Inc_2018,Inc_2019,Inc_2020,Inc_2021,Inc_2022
Accomack County,37.7422207,-75.6743538,39328,39389,39412,38503,42260,43210,46073,46178,50601,52694
Albemarle County,38.0085107,-78.6086754,67725,67958,68449,70342,72265,75394,79880,84643,90568,97708
Alexandria city,38.8243417,-77.08559408,85706,87319,89134,89200,93370,96733,100939,102227,105450,113179
Alleghany County,37.8167022,-80.0227166,44848,45183,45007,45538,46020,47794,47673,48513,49705,52546
Amelia County,37.3319664,-78.008448,52885,55870,56850,58269,58535,58526,57946,63918,57420,63438
Amherst County,37.5997548,-79.1483701,44945,44765,47558,47002,49677,49170,52888,57368,60876,64454
Appomattox County,37.379893,-78.79440517,50167,47927,48823,52134,54875,56176,58696,55457,55268,60041
Arlington County,38.8769326,-77.0893094,103208,105120,105763,108706,112138,117374,120071,122604,128145,137387
Augusta County,38.1793809,-79.1525761,52027,54018,54558,56802,59544,61305,62711,65076,69082,76124
Bath County,38.05572555,-79.73500168,51365,46153,43646,44985,44483,46137,49738,55481,55807,55699
Bedford city,37.441978,-79.550669,35593,35593,35593,35593,35593,35593,35593,35593,35593,35593
Bedford County,37.3123905,-79.5399003,57596,56043,56316,56725,59405,61541,64199,67136,70870,74773
Bland County,37.1312101,-81.1154109,42139,43508,45294,47800,46927,50511,48531,50365,54556,59901
Botetourt County,37.5520825,-79.8029569,65935,63011,60454,61470,64733,68410,71110,72719,72941,77680
Bristol city,36.6176148,-82.1484049,32221,33616,35368,35801,37844,37904,37500,39679,43879,45250
Brunswick County,36.7788996,-77.8670883,36293,37028,36919,38858,40871,41927,44434,46111,49597,52678
Buchanan County,37.2600448,-82.0320334,29848,29678,29679,30335,30828,30806,31956,34302,37093,39591
Buckingham County,37.5558826,-78.5547172,38648,38484,40331,43514,46610,46261,49025,48603,49841,59894
Buena Vista city,37.7342243,-79.3560162,36591,32789,29097,29109,33672,34273,32455,36634,42156,48783
Campbell County,37.2158191,-79.1165953,47162,47055,47699,47005,48823,50258,49664,52319,53918,59022
Caroline County,38.0320305,-77.362363,57218,58417,59227,57294,60925,64715,65103,67901,76528,83562
Carroll County,36.7365816,-80.7439791,32853,33495,35000,37048,41145,43532,44835,44518,45220,49113
Charles City County,37.3705777,-77.0605098,48428,48088,49563,54167,55069,59192,57198,60096,59543,65573
Charlotte County,37.0416273,-78.6523968,33015,34820,35079,33837,38350,39212,40573,40924,45567,51548
Charlottesville city,38.03265275,-78.47831755,44601,47218,49775,50727,54739,58933,59471,59598,63470,67177
Chesapeake city,36.7503719,-76.22857998,69743,70176,68620,69978,72214,75790,78640,81261,85563,92703
Chesterfield County,37.3859982,-77.578509,72088,72514,72609,73869,76969,80214,82599,84645,88315,95757
